City,Country,Lat,Lng,Date,Max Temp,Humidity,Wind Speed,Cloudiness
Georgetown,Guyana,6.8,-58.16,1531000040,82.03,84,3.71,48
Mahebourg,Mauritius,-20.41,57.7,1530997200,69.8,83,2.24,40
Dikson,Russian Federation,73.51,80.55,1531000081,40.45,94,18.14,32
Gorontalo,Indonesia,0.54,123.06,1531000081,73.75,91,4.16,24
Talnakh,Russian Federation,69.49,88.39,1531000081,51.25,58,5.39,76
Isangel,Vanuatu,-19.55,169.27,1531000081,74.38,100,18.25,24
Rikitea,French Polynesia,-23.12,-134.97,1531000082,74.29,100,12.1,8
Barrow,Argentina,-38.31,-60.23,1530999858,45.94,96,7.4,92
Okha,Russian Federation,53.59,142.95,1531000082,54.76,62,7.63,0
Bosaso,Somalia,11.28,49.18,1531000082,90.49,83,10.2,24
Carnarvon,South Africa,-30.97,22.13,1531000082,30.73,66,6.62,0
Spasskoye,Russian Federation,55.86,45.7,1531000082,62.5,94,2.71,88
Mount Gambier,Australia,-37.83,140.78,1530999966,53.14,83,11.1,92
Bluff,Australia,-23.58,149.07,1531000083,47.56,58,12.66,0
Harper,United States,30.3,-99.24,1530998100,86.0,54,8.05,1
Walvis Bay,Namibia,-22.95,14.51,1530997200,80.6,22,10.29,48
Channel-Port Aux Basques,Canada,47.57,-59.14,1531000083,51.88,87,20.49,0
Albany,United States,42.65,-73.75,1530996840,80.6,34,4.7,1
Shar,Nigeria,7.3,8.73,1531000084,75.82,91,6.85,48
Mataura,New Zealand,-46.19,168.86,1531000084,39.91,79,5.61,24
Atuona,French Polynesia,-9.8,-139.03,1531000084,80.05,100,21.5,0
Mar Del Plata,Argentina,-46.43,-67.52,1531000084,33.97,100,4.72,0
Cockburn Town,Turks and Caicos Islands,21.46,-71.14,1531000084,83.11,96,18.25,12
Fort Nelson,Canada,58.81,-122.69,1530997200,62.6,42,3.36,75
Busselton,Australia,-33.64,115.35,1531000085,53.41,100,15.23,0
Zhigansk,Russian Federation,66.77,123.37,1531000085,65.02,92,3.15,8
Port Lincoln,Australia,-34.72,135.86,1531000085,56.92,92,12.44,76
New Norfolk,Australia,-42.78,147.06,1530997200,41.0,80,19.46,75
Puerto Asis,Colombia,0.51,-76.5,1531000085,73.48,94,2.26,92
Tabou,Côte d'Ivoire,4.42,-7.36,1531000085,78.7,100,10.2,100
Presidencia Roque Saenz Pena,Argentina,-26.79,-60.44,1531000086,57.19,77,10.98,100
Roma,Italy,41.89,12.48,1530998400,77.0,47,5.82,0
Esperance,Trinidad and Tobago,10.24,-61.45,1530997200,84.2,62,12.75,20
Avarua,Cook Islands,-21.21,-159.78,1530997200,71.6,64,14.99,75
Puerto Ayora,Ecuador,-0.74,-90.35,1530997200,78.8,61,13.87,90
Ushuaia,Argentina,-54.81,-68.31,1530997200,35.6,74,6.93,40
Aripuana,Brazil,-9.17,-60.63,1531000086,94.0,20,2.37,0
Thompson,Canada,55.74,-97.86,1530997200,82.4,51,12.75,20
Ancud,Chile,-41.87,-73.83,1531000087,50.98,88,2.59,0
Kem,Uganda,2.68,33.77,1531000087,59.71,94,1.7,20
Saint-Philippe,Canada,45.36,-73.48,1530998100,82.4,32,12.75,20
Cassilandia,Brazil,-19.11,-51.73,1531000087,77.53,44,3.38,0
Vardo,United States,39.62,-77.74,1530998100,80.6,36,5.82,1
Tasiilaq,Greenland,65.61,-37.64,1530996600,42.8,87,12.75,75
Coihaique,Chile,-45.58,-72.07,1530997200,32.0,98,3.36,0
Hilo,United States,19.71,-155.08,1530999600,78.8,78,13.87,75
Hobart,Australia,-42.88,147.33,1530997200,41.0,80,19.46,75
Ligatne,Latvia,57.23,25.04,1531000088,63.31,68,10.76,8
Punta Arenas,Chile,-53.16,-70.91,1530997200,35.6,100,10.29,0
Berdigestyakh,Russian Federation,62.1,126.7,1531000089,72.58,58,6.17,0
San Cristobal,Ecuador,-0.39,-78.55,1530997200,60.8,63,21.92,40
Qaanaaq,Greenland,77.48,-69.36,1531000089,32.8,95,4.16,76
Hasaki,Japan,35.73,140.83,1530997560,77.0,94,6.93,75
Nikolskoye,Russian Federation,59.7,30.79,1530997200,60.8,87,6.71,75
Maniitsoq,Greenland,65.42,-52.9,1531000090,39.1,87,1.59,68
Ambon,France,47.55,-2.56,1530999000,73.4,73,6.93,0
Mayo,Canada,63.59,-135.9,1530997200,68.0,52,4.7,75
Touros,Brazil,-5.2,-35.46,1531000090,75.01,99,10.65,36
Tiksi,Russian Federation,71.64,128.87,1531000090,43.24,96,4.16,92
Sitka,United States,37.17,-99.65,1531000090,90.85,53,9.98,8
Norman Wells,Canada,65.28,-126.83,1530997200,55.4,71,4.7,90
